name,price,type,efficiency,wattage,modular,color
be quiet! Pure Power 11,91.89,ATX,gold,400,false,Black
Corsair RM750 (2019),224.99,ATX,gold,750,Full,Black
Corsair RM1200x SHIFT,199.21,ATX,gold,1200,Full / Side,Black
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black
Silverstone SFX,112.53,SFX,gold,500,Full,
Gigabyte UD-GM PG5,119.99,ATX,gold,850,Full,White
Asus ROG THOR P2 Gaming,301.99,ATX,platinum,1000,Full,Silver / Black
EVGA SuperNOVA 650 G+,79.98,ATX,gold,650,Full,Black
be quiet! Pure Power 12 M,169.9,ATX,gold,550,Full,Black
MSI MPG A750GF WHITE,252.77,ATX,gold,750,Full,White
Thermaltake Toughpower GF A3 - TT Premium Edition,86.99,ATX,gold,750,Full,Black
Apevia Premier,59.99,ATX,gold,650,Semi,Black
Corsair RM850x SHIFT,144.99,ATX,gold,850,Full / Side,Black
Gigabyte P450B,54.99,ATX,bronze,450,false,Black
Thermaltake Toughpower GF3 TT Premium,149.99,ATX,gold,1000,Full,Black
CoolMax I-500,26.68,ATX,,500,false,
Gigabyte P650G (US),59.99,ATX,gold,650,false,Black
EVGA 400 N1,,ATX,,400,false,
Cooler Master V750 SFX GOLD,146.98,SFX,gold,750,Full,Black
Gigabyte P-B,,ATX,bronze,650,false,Black
Deepcool PQ850M,,ATX,gold,850,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,79.99,ATX,gold,650,Full,Black
EVGA 600 W1,64.02,ATX,plus,600,false,
Thermaltake Toughpower,79.98,ATX,gold,750,Semi,
Corsair RM1000x SHIFT,185.75,ATX,gold,1000,Full / Side,Black
GameMax GP,,ATX,bronze,650,false,Black
SeaSonic FOCUS Plus 650 Gold,,ATX,gold,650,Full,
EVGA 700 BR,79.98,ATX,bronze,700,false,
EVGA SuperNOVA 850 GM,163.9,SFX,gold,850,Full,Black
Corsair AX1500i,749,ATX,titanium,1500,Full,
EVGA GE,80.65,ATX,gold,500,false,Black
Corsair RM1000x,245,ATX,gold,1000,Full,
SeaSonic PRIME TX,499.99,ATX,titanium,1600,Full,Black / Silver
be quiet! Pure Power 12 M,104.9,ATX,gold,650,Full,Black
be quiet! SFX L Power,130.53,SFX,gold,600,Full,
SeaSonic FOCUS Plus 750 Gold,135,ATX,gold,750,Full,
Asus Prime AP-750G,109.99,ATX,gold,750,Full,White / Black
be quiet! Dark Power Pro 13,389.9,ATX,titanium,1300,Full,Black
SeaSonic FOCUS Plus Platinum,159.99,ATX,platinum,750,Full,
Asus ROG THOR 1200P,349.99,ATX,platinum,1200,Full,Black
MSI MPG A750GF,95.34,ATX,gold,750,Full,Black
Cooler Master V SFX Platinum,248.99,SFX,platinum,1100,Full,Black
Super Flower Leadex III Gold,109.99,ATX,gold,750,Full,Black
Vetroo GV1000,129.99,ATX,gold,1000,Full,White
ARESGAME AGV,,ATX,bronze,650,false,Black
Gigabyte P550B,69.19,ATX,bronze,550,false,Black
Thermaltake Toughpower GF3 TT Premium,259.99,ATX,gold,1650,Full,Black
Silverstone SX500-G,116.47,SFX,gold,500,Full,
PowerSpec PS 750BSM,67.98,ATX,bronze,750,Semi,Black
Asus ROG THOR P2 Gaming,181,ATX,platinum,850,Full,Black / Silver
EVGA GE,99.99,ATX,gold,800,false,Black
Corsair CV750,,ATX,bronze,750,false,Black
Deepcool PK650D,,ATX,bronze,650,false,Black
Gigabyte P850GM,,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 P6,219.88,ATX,platinum,1000,Full,Black / Silver
ADATA XPG CORE Reactor 850,107.99,ATX,gold,850,Full,Black
be quiet! System Power 10,111.19,ATX,bronze,750,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,127.08,ATX,gold,1050,Full,Black
SeaSonic VERTEX GX-1200,244.99,ATX,gold,1200,Full,Black / Silver
SeaSonic FOCUS GX,159.99,ATX,gold,1000,Full,Black
Deepcool PF500 230V,,ATX,plus,500,false,Black
Cooler Master V650 SFX GOLD,,SFX,gold,650,Full,Black
EVGA 650 B5,84.28,ATX,bronze,650,Full,Black
Thermaltake Toughpower GF1 PE,109.99,ATX,gold,850,Full,Black
Corsair SF600,225,SFX,platinum,600,Full,Black
Thermaltake Smart BX1,83.79,ATX,bronze,750,false,Black
Thermaltake TR2,59.64,ATX,,500,false,
Corsair RM650x (2021),,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 G2,,ATX,gold,750,Full,
Sparkle FSP350-60GNV,69.99,SFX,,350,false,
Deepcool PX1000G,129.99,ATX,gold,1000,Full,Black
Montech TITAN GOLD 850W,99.99,ATX,gold,850,Full,Black
SeaSonic FOCUS GX-1000 ATX 3.0,199.99,ATX,gold,1000,Full,Black
Asus ROG LOKI,,SFX,platinum,1000,Full,Silver / Black
Deepcool PQ1000M,129.99,ATX,gold,1000,Full,Black
Deepcool PX850G,104.99,ATX,gold,850,Full,Black
SeaSonic FOCUS GX-850 ATX 3.0,158.99,ATX,gold,850,Full,Black
PowerSpec PS 650BF,55.99,ATX,bronze,650,false,Black
be quiet! System Power 10,143.69,ATX,gold,850,false,Black
Thermaltake Smart BM3,79.98,ATX,bronze,850,Semi,Black
MSI MEG Ai1000P PCIE5,251,ATX,platinum,1000,Full,Black / Copper
SeaSonic FOCUS Plus Platinum,175.99,ATX,platinum,850,Full,
Montech CENTURY MINI,,SFX,gold,750,Full,Black
Super Flower Leadex Platinum SE,159.99,ATX,platinum,1200,Full,Black
Corsair RM750x (2018),169.98,ATX,gold,750,Full,Black
SeaSonic S12III,78.98,ATX,bronze,650,false,Black
Corsair CX550 (2017),,ATX,bronze,550,false,
Corsair RM850x (2018),180.92,ATX,gold,850,Full,Black
MSI MPG A850GF,132.99,ATX,gold,850,Full,Black
Silverstone SFX,217.98,SFX,titanium,800,Full,
EVGA 750 GQ,109.99,ATX,gold,750,Semi,
Super Flower Leadex,,ATX,platinum,2000,Full,
Super Flower Leadex Titanium,349.99,ATX,titanium,1600,Full,Black
Thermaltake Toughpower GF3 TT Premium,99.99,ATX,gold,750,Full,Black
EVGA SuperNOVA 850 G3,299.99,ATX,gold,850,Full,
be quiet! System Power 10,157.23,ATX,bronze,550,false,Black
