name,price,type,efficiency,wattage,modular,color
Asus Prime AP-850G,138.46,ATX,gold,850,Full,White / Black
Silverstone SX750-PT,,SFX,platinum,750,Full,Black
be quiet! Straight Power 11,,ATX,platinum,550,Full,Black
Silverstone Strider Platinum S,195.95,ATX,platinum,1000,Full,Black
Corsair RM750,,ATX,gold,750,Full,
SeaSonic VERTEX GX-850,190,ATX,gold,850,Full,Black / Silver
Xilence XP500R6,88.07,ATX,,500,false,Black / Red
Cooler Master V850 V2,,ATX,gold,850,Full,White
Corsair RM850 (2019),188.6,ATX,gold,850,Full,Black
Thermaltake Toughpower GF1 Snow - TT Premium,,ATX,gold,850,Full,White
SeaSonic FOCUS,,ATX,platinum,550,Full,Black
Corsair CX650F,199.99,ATX,bronze,650,Full,Black
Super Flower Leadex III Gold,,ATX,gold,550,Full,Black
Cooler Master V550 V2,,ATX,gold,550,Full,White
GameMax RGB Rainbow,118.99,ATX,gold,750,Full,Black
Corsair TX750M,,ATX,gold,750,Semi,Black
Super Flower LEADEX VII XG,144.99,ATX,gold,850,Full,Black
EVGA 750 BQ,,ATX,bronze,750,Semi,
FSP Group FSP400-60FGGBA,103.72,Flex ATX,gold,400,false,
Gigabyte UD1300GM PG5,183,ATX,gold,1300,Full,Black
EVGA 600 GQ,,ATX,gold,600,Semi,Black
Antec CSK,107.1,ATX,bronze,750,Semi,Black / Yellow
Asus ROG Strix,,ATX,gold,650,Full,Black / Red
EVGA 650BP,74.99,ATX,bronze,650,false,Black
EVGA 750 BP,79.99,ATX,bronze,750,false,Black
EVGA SuperNOVA 1600 G+,317.18,ATX,gold,1600,Full,Black
PowerSpec GFM,94.99,ATX,gold,750,Full,Black
"FSP Group Hydro Ti PRO,Gen 5",,ATX,titanium,1000,Full,Black
Antec Signature,266.14,ATX,titanium,1000,Full,Black / Silver
EVGA SuperNOVA 750 GA,179.99,ATX,gold,750,Full,Black
Corsair TX650M Gold,,ATX,gold,650,Semi,
SeaSonic PRIME PX-1600 ATX 3.0,509.99,ATX,platinum,1600,Full,Black / Silver
Fractal Design Ion Gold,173.59,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 GA,136.99,ATX,gold,650,Full,Black
Cooler Master MWE GOLD 650 V2 FULL MODULAR,,ATX,gold,650,Full,Black
EVGA N1,59.99,ATX,,550,false,
Super Flower Leadex V Pro,219.99,ATX,platinum,1000,Full,White
Corsair CX750,,ATX,bronze,750,false,
SeaSonic FOCUS Gold,105.99,ATX,gold,550,Semi,
Deepcool PX850G WH,150.65,ATX,gold,850,Full,White
Xilence XP600R6,87,ATX,,600,false,Black / Red
EVGA SuperNOVA 750 G6,138.21,ATX,gold,750,Full,Black
Corsair CX750F,,ATX,bronze,750,Full,Black
Rosewill Capstone,,ATX,gold,650,Semi,
Cooler Master G800,,ATX,gold,800,false,Black
CoolMax V-400,37.15,ATX,,400,false,
Montech TITAN GOLD 1200W,149.99,ATX,gold,1200,Full,Black
SeaSonic PRIME Fanless,298.99,ATX,titanium,700,Full,Black
Corsair VS650 (2018),,ATX,plus,650,false,
Corsair CX500,,ATX,bronze,500,false,
SeaSonic FOCUS Plus Platinum,,ATX,platinum,650,Full,
Zalman ZM-600-GT,,ATX,bronze,600,Semi,
EVGA SuperNOVA 1000 P3,224,ATX,platinum,1000,Full,Black / Silver
SeaSonic G12 GM,145.79,ATX,gold,650,Semi,Black / Blue
Super Flower Leadex III ARGB,169.99,ATX,gold,750,Full,White
Asus TUF Gaming B,86.35,ATX,bronze,550,false,Black
FSP Group Hydro G Pro,179.51,ATX,gold,1000,Full,Black
Gigabyte AORUS P1200W,,ATX,platinum,1200,Full,Black
SeaSonic B12 BC,,ATX,bronze,850,false,
Corsair HX1000i (2022),275,ATX,platinum,1000,Full,Black
Silverstone SST-TX300,74.98,TFX,bronze,300,false,Black
Corsair Vengeance 750M,94.99,ATX,silver,750,Semi,
SeaSonic PRIME TX-1600 ATX 3.0,,ATX,titanium,1600,Full,Black / Silver
Asus ROG Strix Aura Edition,178.5,ATX,gold,850,Full,Black
ADATA XPG FUSION 1600,569.99,ATX,titanium,1600,Full,Black / Silver
EVGA SuperNOVA 750 P2,236.78,ATX,platinum,750,Full,
Corsair VS450,,ATX,plus,450,false,
SeaSonic G12 GM,135.61,ATX,gold,850,Semi,Black / Blue
ADATA XPG PYLON,,ATX,bronze,550,false,Black
Thermaltake Thermaltake TP-750M,79.98,ATX,gold,750,Semi,
Silverstone VA550-B,,ATX,bronze,550,false,Black
EVGA 700 BQ,81.87,ATX,bronze,700,Semi,Black
GameMax RGB Rainbow,,ATX,gold,1050,Full,Black
EVGA SuperNOVA 750 G7,119.99,ATX,gold,750,Full,Black / Blue
Cooler Master Elite V3,,ATX,plus,600,false,Black
Antec NE850G M ATX3.0,,ATX,gold,850,Full,Black
SeaSonic G12 GC,,ATX,gold,850,false,Black / Blue
Logisys PS480D2,16.98,ATX,,480,false,
EVGA SuperNOVA 1000 G3,395.76,ATX,gold,1000,Full,
Corsair RM850e (2022),188.02,ATX,gold,850,Full,Black
be quiet! SFX Power 3 300,71.29,SFX,bronze,300,false,Black
Silverstone SX700-PT,157.47,SFX,platinum,700,Full,Black
SeaSonic FOCUS SPX (2021),197.98,SFX,platinum,750,Full,Black
Corsair HX850i,396,ATX,platinum,850,Full,
Deepcool PX1200G,169.99,ATX,gold,1200,Full,Black
G.Skill MB750G,84.98,ATX,gold,750,Full,Black
Silverstone TX500-G,146.1,TFX,gold,500,false,Black
Corsair RM1000e (2022),242.99,ATX,gold,1000,Full,Black
Thermaltake Smart Pro RGB,,ATX,bronze,650,Full,
Thermaltake Toughpower GF A3 - TT Premium Edition,156.49,ATX,gold,1200,Full,Black
EVGA SuperNOVA 450 GM,,SFX,gold,450,Full,Black
Cooler Master V750 V2,,ATX,gold,750,Full,White
Corsair RM750e (2022),160,ATX,gold,750,Full,Black
Thermaltake Litepower,,ATX,,650,false,
Corsair TX750M Gold,,ATX,gold,750,Semi,
GAMDIAS KRATOS P1 G,84.99,ATX,gold,750,false,Black
iTek GF EVO,,ATX,gold,650,Full,Black
Thermaltake TR2 S,90,ATX,plus,600,false,Black
Cougar POLAR,209.99,ATX,platinum,1200,Full,White
SeaSonic B12 BC,,ATX,bronze,550,false,
"FSP Group Hydro PTM X PRO,Gen5",184.99,ATX,platinum,1000,Full,Black
EVGA SuperNOVA 1600 P2,637.8,ATX,platinum,1600,Full,
be quiet! Pure Power 11 FM 650,,ATX,gold,650,Full,Black
Cooler Master MasterWatt,,ATX,bronze,650,Semi,
Azza ARGB,62.99,ATX,bronze,650,false,Black
Athena Power AP-MTFX30,36.99,TFX,,300,false,
KOLINK Regulator,109.99,ATX,gold,750,Full,Black
EVGA SuperNOVA 850 GA,272.99,ATX,gold,850,Full,Black
Asus TUF Gaming 650B,,ATX,bronze,650,false,Black
PowerSpec PSX 850GFM,,ATX,gold,850,Full,Black
Cooler Master MWE Gold V2 ATX3.0,169.99,ATX,gold,1050,Full,Black
Cougar VTE,56.99,ATX,bronze,600,false,Black
SeaSonic CORE GM,,ATX,gold,650,Semi,Black
Cooler Master MWE White V2 230V,,ATX,plus,650,false,Black
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black
Corsair SF450,,SFX,gold,450,Full,
ARESGAME AGK,,ATX,gold,850,Full,Black / Red
Vetroo GV1000,129.99,ATX,gold,1000,Full,Black
SeaSonic Prime Fanless PX-500,,ATX,platinum,500,Full,Black
Gigabyte AORUS P GM,213.24,ATX,gold,750,Full,Black / Silver
Fractal Design Ion+ 2 Platinum,,ATX,platinum,860,Full,Black
Cooler Master G600,,ATX,gold,600,false,Black
Cooler Master MasterWatt,,ATX,bronze,750,Semi,Black
Super Flower Leadex III Gold,114.99,ATX,gold,650,Full,Black
Thermaltake Smart BM2,,ATX,bronze,750,Semi,Black
Thermaltake Toughpower PF3-L,220.99,ATX,platinum,1200,Full,Black
Corsair CX450 (2017),,ATX,bronze,450,false,
Enermax REVOLUTION D.F. 2,129.99,ATX,gold,1200,Full,Black
Corsair CS650M,149,ATX,gold,650,Semi,
Thermaltake Smart RGB 230V,71.91,ATX,plus,600,false,Black
Corsair HX850,,ATX,platinum,850,Full,Black
FSP Group HV PRO,,ATX,plus,650,false,Black
PowerSpec PS 650GSM,79.98,ATX,gold,650,Semi,Black
Super Flower Leadex III ARGB,159.99,ATX,gold,650,Full,White
EVGA SuperNOVA 1000 T2,,ATX,titanium,1000,Full,
Thermaltake Toughpower PF3,,ATX,platinum,1050,Full,Black
SHARKOON SilentStorm Cool Zero 750,167.49,ATX,gold,750,Full,Black
Silverstone HELA 850R,222.31,ATX,platinum,850,Full,Black / Silver
SeaSonic M12II,,ATX,bronze,620,Full,
Enhance ENP-7660,,Flex ATX,platinum,600,false,Silver
SeaSonic PRIME TX-1300 ATX 3.0,516.98,ATX,titanium,1300,Full,Black / Silver
SHARKOON SilentStorm,149.99,SFX,gold,500,Full,Black
Cooler Master V750 Gold V2,,ATX,gold,750,Full,Black
GameMax GX Pro Rampage,119.99,ATX,gold,850,Full,Black
Silverstone SFX,,SFX,bronze,300,false,
SeaSonic FOCUS,169.98,ATX,platinum,750,Full,Black
Silverstone Essential,78.98,ATX,gold,550,false,Black / Yellow
EVGA SuperNOVA 1200 P3,449.99,ATX,platinum,1200,Full,Black / Silver
Cooler Master V850 Gold i,156.03,ATX,gold,850,Full,Black / Gold
Silverstone SX-G,142.99,SFX,gold,700,Full,Black
Thermaltake Smart BX1 550,,ATX,bronze,550,false,Black
SHARKOON SilentStorm Cool Zero 650,146.38,ATX,gold,650,Full,Black
Super Flower Leadex Titanium,239.99,ATX,titanium,850,Full,Black
GameMax RGB,179.99,ATX,platinum,1300,Full,Black
be quiet! Straight Power 11 550W,109.9,ATX,gold,550,Full,
EVGA SuperNOVA 550 GM,,SFX,gold,550,Full,Black
Silverstone SX650-G,137.86,SFX,gold,650,Full,
Deepcool PF550 230V,,ATX,plus,550,false,Black
Corsair CX430,,ATX,bronze,430,false,
SeaSonic FOCUS SGX,,SFX,gold,500,Full,Black
Mars Gaming MPII650,,ATX,,650,false,Black / Red
Corsair RM550x (2021),,ATX,gold,550,Full,Black
SeaSonic G12 GC,94.49,ATX,gold,550,false,Black / Blue
Corsair TX850M Gold,,ATX,gold,850,Semi,
Gigabyte P1000GM,,ATX,gold,1000,Full,Black
Thermaltake Toughpower Grand RGB,,ATX,gold,850,Full,
Silverstone SX1000R-PL,287.41,SFX,platinum,1000,Full,Black / White
GameMax GM,,ATX,bronze,800,Semi,Black
Inter-Tech Argus APS,,ATX,,720,false,Black / Orange
Segotep GM,,ATX,gold,850,Full,Black
Corsair RM750i,,ATX,gold,750,Full,
SeaSonic VERTEX PX-850,219.99,ATX,platinum,850,Full,Black / Silver
EVGA SuperNOVA 1300 G+,282.18,ATX,gold,1300,Full,Black
Cooler Master V750 SFX GOLD,,SFX,gold,750,Full,White
be quiet! Straight Power 11,,ATX,platinum,1000,Full,Black
EVGA SuperNOVA 1200 P2,,ATX,platinum,1200,Full,
Thermaltake Smart RGB,,ATX,plus,700,false,
Thermaltake Toughpower Grand RGB,112.99,ATX,gold,650,Full,
EVGA 550 B5,151.75,ATX,bronze,550,Full,Black
EVGA SuperNOVA 850 G7,179.99,ATX,gold,850,Full,Black / Blue
Antec NE1000G M White ATX 3.0,207.31,ATX,gold,1000,Full,White
FSP Group Hydro G PRO ATX3.0(PCIe5.0),,ATX,gold,850,Full,Black
EVGA SuperNOVA 1600 P+,509.06,ATX,platinum,1600,Full,Black
Asus ROG Strix,,ATX,gold,550,Full,Black / Red
EVGA SuperNOVA 1300 G2,,ATX,gold,1300,Full,
Aerocool Integrator MOD XT,,ATX,bronze,750,Semi,Black / Red
Corsair CX550M (2021),,ATX,bronze,550,Semi,Black
SeaSonic Prime Fanless PX-450,,ATX,platinum,450,Full,Black
Cooler Master Elite V3,,ATX,,500,false,Black
Thermaltake Litepower,,ATX,,550,false,
SeaSonic PRIME TX-750,305,ATX,titanium,750,Full,Black
Gigabyte B700H,,ATX,bronze,700,Semi,Black
NZXT E850,149.99,ATX,gold,850,Full,Black
Silverstone DA550 Gold,,ATX,gold,550,Full,Black / White
Corsair CX550F,159.99,ATX,bronze,550,Full,Black
Antec CSK,87.08,ATX,bronze,650,false,Black / Yellow
GAMDIAS KRATOS M1 B,79.98,ATX,bronze,750,false,Black
Thermaltake Toughpower Grand RGB,144.98,ATX,gold,750,Full,
Thermaltake TR2 S,82.19,ATX,plus,700,false,Black
EVGA SuperNOVA 650 G1,223.49,ATX,gold,650,Full,
Deepcool PF750 230V,,ATX,plus,750,false,Black
ENDORFY Supremo FM5,266,ATX,gold,750,Full,Black
FSP Group Hydro G Pro,120.62,ATX,gold,750,Full,Black
SeaSonic PRIME 1300 Gold,281.99,ATX,gold,1300,Full,Black
Corsair HX750,,ATX,platinum,750,Full,Black
Corsair RM650,222.2,ATX,gold,650,Full,
Super Flower Leadex Platinum,124.99,ATX,platinum,850,Full,Black
Cooler Master V750 Gold i,,ATX,gold,750,Full,Black / Gold
Apex AL-8250SFX,72.02,SFX,,250,false,
Deepcool PM650D,79.99,ATX,gold,650,false,Black
Corsair CX650F,,ATX,bronze,650,Full,White / Black
In Win IP-S200DF1-0,52.02,TFX,,200,false,
SeaSonic PRIME 600 Titanium,,ATX,titanium,600,Full,Black
NZXT C (2019),104.99,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 G+,,ATX,gold,750,Full,Black
Thermaltake Toughpower SFX 600W Gold,134.59,SFX,gold,600,Full,Black
Deepcool PF450 230V,,ATX,plus,450,false,Black
Corsair AX850,,ATX,titanium,850,Full,Black / Silver
SeaSonic G12 GM,,ATX,gold,550,Semi,Black / Blue
EVGA SuperNOVA 650 G6,116.2,ATX,gold,650,Full,Black
be quiet! Straight Power 11 1000W,252,ATX,gold,1000,Full,
MSI MAG A600DN,,ATX,plus,600,false,Black
Corsair AX860,,ATX,platinum,860,Full,
SeaSonic PRIME Platinum,290,ATX,platinum,1000,Full,
Asus ROG Strix Aura Edition,164.99,ATX,gold,750,Full,Black
GameMax GT,,TFX,bronze,300,false,Silver
be quiet! Dark Power Pro 12,,ATX,titanium,1500,Full,Black
KOLINK Classic Power,,ATX,bronze,500,false,Black / Red
Silverstone DA1650 Gold,,ATX,gold,1650,Full,Black / White
Corsair VS650,,ATX,,650,false,
Phanteks Revolt X,,ATX,platinum,1200,Full,Black / Silver
EVGA 600 B1,,ATX,bronze,600,false,
SeaSonic PRIME PX,377.5,ATX,platinum,1000,Full,Black / Silver
Gigabyte UD1000GM PG5,129.99,ATX,gold,1000,Full,Black
ENDORFY Vero L5,175,ATX,bronze,600,false,Black
Corsair RM750x White,,ATX,gold,750,Full,White / Black
EVGA 1000 GQ,159.99,ATX,gold,1000,Semi,
FSP Group Dagger Pro,179.99,SFX,gold,850,Full,Black / Gold
Fractal Design Ion+ 2 Platinum,,ATX,platinum,760,Full,Black
Silverstone FX500-G,,Flex ATX,gold,500,false,Black
EVGA 500 B1,,ATX,bronze,500,false,
EVGA SuperNOVA 550 GA,174.99,ATX,gold,550,Full,Black
Corsair HX750i,,ATX,platinum,750,Full,
Cooler Master MWE Gold 750,,ATX,gold,750,Full,Black
ADATA XPG Core Reactor II,114.99,ATX,gold,850,Full,Black
ENDORFY Vero L5,,ATX,bronze,700,false,Black
be quiet! Straight Power 11,208.48,ATX,platinum,750,Full,Black
Silverstone Strider Titanium,359.99,ATX,titanium,1300,Full,Black / Blue
Chieftec GPS-700A8,,ATX,bronze,700,false,Black / White
Gigabyte AORUS P GM,,ATX,gold,850,Full,Black / Silver
Corsair RM1000,,ATX,gold,1000,Full,
Thermaltake Toughpower GX1,87.23,ATX,gold,600,Semi,Black
EVGA SuperNOVA 850 P2,,ATX,platinum,850,Full,
Gigabyte UD-GM PG5,164.89,ATX,gold,750,Full,Black
Silverstone DA750R-GMA,220.76,ATX,gold,750,Full,White
Fractal Design Ion+ 2 Platinum,,ATX,platinum,660,Full,Black
Silverstone TX700-G,181.97,TFX,gold,700,false,Black
SeaSonic FOCUS Plus 550 Gold,,ATX,gold,550,Full,
Cooler Master XG750 Plus,141.47,ATX,platinum,750,Full,Black
Corsair TX550M,,ATX,gold,550,Semi,Black
Thermalright TG,,ATX,gold,650,Full,Black
EVGA SuperNOVA 850 G+,,ATX,gold,850,Full,
Fractal Design Ion SFX 650G,,SFX,gold,650,Full,Black
Aerocool AER-P7-P650W,,ATX,platinum,650,Full,
MSI MPG A750G PCIE5,125.35,ATX,gold,750,Full,Black
Corsair CS750M,216.99,ATX,gold,750,Semi,
Antec NeoECO Gold,143.63,ATX,gold,750,Full,
Enermax CYBERBRON,,ATX,bronze,500,false,Black / Silver
Thermaltake Toughpower GF1 ARGB,,ATX,gold,650,Full,
Lian Li PE,,SFX,platinum,750,Full,
Xilence XP400R6,,ATX,,400,false,Black / Red
be quiet! Straight Power 11,,ATX,platinum,850,Full,Black
EVGA 450 BT,,ATX,bronze,450,false,
Corsair AX760,,ATX,platinum,760,Full,
Chieftec GPS-600A8,,ATX,plus,600,false,
EVGA SuperNOVA NEX650G Gold,,ATX,gold,650,Full,
SeaSonic S12II,,ATX,bronze,350,false,
MSI MAG A500DN,,ATX,plus,500,false,Black
EVGA SuperNOVA 550 GS,,ATX,gold,550,Full,
Phanteks Revolt SFX,,SFX,gold,750,Full,Black
Silverstone Strider Platinum S,269.99,ATX,platinum,1200,Full,Black
Rosewill HIVE S,,ATX,bronze,1000,Full,
Thermaltake Smart Pro RGB,199.99,ATX,bronze,750,Full,
Cooler Master V650 Gold V2,258.33,ATX,gold,650,Full,Black
Montech CENTURY,,ATX,gold,850,Full,Black
Enermax MAXREVO SLI,149.94,ATX,gold,1350,Full,Black / Gold
Deepcool PK450D,,ATX,bronze,450,false,Black
Corsair TX650,255,ATX,plus,650,false,
be quiet! Straight Power 11 650W,,ATX,gold,650,Full,
Silverstone SFX,169.99,SFX,platinum,700,Full,
Gigabyte PW400,,ATX,plus,400,false,Black
Razer Katana Chroma,209.99,ATX,platinum,850,Full,Black
Corsair CX550F,,ATX,bronze,550,Full,White / Black
EVGA SuperNOVA 850 P5,,ATX,platinum,850,Full,Black / Teal
SeaSonic FOCUS,,ATX,platinum,650,Full,Black
Cooler Master V SFX Gold ATX 3.0,,SFX,gold,750,Full,White
EVGA SuperNOVA 1300 P+,494.93,ATX,platinum,1300,Full,Black
Corsair GS800,239,ATX,bronze,800,false,
EVGA SuperNOVA 1000 G2,,ATX,gold,1000,Full,
ADATA XPG KYBER,,ATX,gold,750,false,Black
Cooler Master G500,,ATX,gold,500,false,Black
GameMax GS,,SFX,bronze,300,false,Silver
be quiet! System Power 9,,ATX,bronze,500,false,Black
Corsair VS600 (2020),,ATX,bronze,600,false,Black
Cougar GEX,111.99,ATX,gold,850,Full,Black
SeaSonic M12II EVO,,ATX,bronze,520,Full,Black
Fractal Design Ion+ 560P,,ATX,platinum,560,Full,Black
KOLINK Classic Power,,ATX,bronze,600,false,Black / Red
GAMDIAS KRATOS E1,121,ATX,plus,600,false,Black
Enermax Revolution D.F. X,129.99,ATX,gold,850,Full,Black
Fractal Design Ion SFX 500G,,SFX,gold,500,Full,Black
Raidmax XT,,ATX,,300,false,
SeaSonic PRIME,195.98,ATX,gold,850,Full,Black
ADATA XPG Core Reactor II,147.99,ATX,gold,1000,Full,Black
EVGA SuperNOVA 650 P6,139.99,ATX,platinum,650,Full,Black / Silver
Corsair VS500 (2020),,ATX,bronze,500,false,Black
Phanteks Revolt X,,ATX,platinum,1000,Full,Black / Silver
EVGA 430 W1,,ATX,plus,430,false,
BitFenix BFG GOLD ATX3.0,89.9,ATX,gold,750,Full,Black
Thermalright TG,,ATX,gold,850,Full,Black
Silverstone Essential,61.74,ATX,bronze,550,false,Black
NZXT C (2019),149.98,ATX,gold,850,Full,Black
Thermaltake Toughpower GF1 Snow - TT Premium,,ATX,gold,750,Full,White
be quiet! Dark Power 12,,ATX,titanium,1000,Full,Black
SeaSonic PRIME PX,182.99,ATX,platinum,750,Full,Black / Silver
Enermax Revolution D.F.,94.99,ATX,gold,750,Full,Black / Silver
SeaSonic Platinum,,ATX,platinum,400,Full,
FSP Group HYPER K PRO,,ATX,plus,700,false,Black / Yellow
SeaSonic CORE GM,,ATX,gold,500,Semi,Black
EVGA SuperNOVA G FTW,184.99,ATX,gold,1000,Full,Black
LC-Power OFFICE SERIES,,ATX,,600,false,Black
Cooler Master GX III GOLD,136,ATX,gold,750,Full,Black / Purple
Thermaltake Toughpower SFX,,SFX,gold,550,Full,Black
NZXT C (2019),109.98,ATX,gold,750,Full,Black
NOX URANO TX,,ATX,,850,false,
Corsair RM650x,203.4,ATX,gold,650,Full,
Thermaltake Toughpower PF3,,ATX,platinum,1200,Full,Black
Thermaltake Smart BX1 RGB 750,,ATX,bronze,750,false,Black
Thermaltake Toughpower PF3,,ATX,platinum,850,Full,Black
Thermaltake TR2,62.4,ATX,,600,false,
NZXT C550,,ATX,bronze,550,Semi,Black
Corsair Vengeance 650M,,ATX,silver,650,Semi,Black
be quiet! Pure Power 11 FM 750,,ATX,gold,750,Full,Black
SeaSonic PRIME Ultra Platinum 1000,,ATX,platinum,1000,Full,Black
be quiet! Dark Power 12,289.14,ATX,titanium,750,Full,Black
Corsair TX750,,ATX,plus,750,false,
Cooler Master MWE Bronze 650,,ATX,bronze,650,false,Black
"FSP Group Hydro PTM PRO,Gen5",264.99,ATX,platinum,1200,Full,Black
GameMax GX Pro Rampage,,ATX,platinum,1250,Full,White
Antec High Current Gamer Gold,,ATX,gold,750,Full,Black
Antec NE1000G M ATX3.0,159.99,ATX,gold,1000,Full,Black
Cooler Master V650,138.65,ATX,gold,650,Full,
Thermaltake TPD-0550M,,ATX,gold,550,Semi,
ENDORFY Supremo FM5,,ATX,gold,850,Full,Black
SeaSonic S12II,247.77,ATX,bronze,520,false,
be quiet! Straight Power 11,,ATX,platinum,1200,Full,Black
Antec CSK,,ATX,bronze,550,false,Black / Yellow
Thermaltake Toughpower GX1 RGB,,ATX,gold,700,false,Black
Corsair HX850,,ATX,gold,850,Semi,
SeaSonic FOCUS Gold,,ATX,gold,750,Semi,
Corsair RM1000i,,ATX,gold,1000,Full,
GAMDIAS KRATOS M1 B,,ATX,bronze,550,false,Black
Super Flower Leadex Titanium,319.99,ATX,titanium,1000,Full,Black
Thermalright TG,,ATX,gold,650,Full,White
Corsair HX750,273.99,ATX,gold,750,Semi,
ARESGAME AGT,,ATX,gold,1000,Full,Black
PC Power & Cooling PM0600,105.59,ATX,bronze,600,Semi,Black / Red
Corsair RM550x,,ATX,gold,550,Full,
SeaSonic FOCUS SGX (2021),,SFX,gold,650,Full,Black
SeaSonic M12II,,ATX,bronze,620,false,
SeaSonic S12III,129,ATX,bronze,550,false,Black
Deepcool PX1000G WH,160.98,ATX,gold,1000,Full,White
be quiet! Pure Power 11 CM,,ATX,gold,700,Semi,Black
SeaSonic PRIME SNOWSILENT,,ATX,titanium,750,Full,White
NZXT HALE82 V2 550W,,ATX,bronze,550,Full,
In Win P85FII,,ATX,gold,850,false,Black / Yellow
SeaSonic SSP-300SUG,99.99,Flex ATX,gold,300,false,
EVGA SuperNOVA 750 P5,,ATX,platinum,750,Full,Black / Teal
ADATA XPG Core Reactor II,107.99,ATX,gold,750,Full,Black
FSP Group Dagger Pro,149.99,SFX,gold,750,Full,Black / Gold
Thermaltake Toughpower Grand RGB Platinum,269.99,ATX,platinum,1200,Full,Black
be quiet! Pure Power 11,,ATX,gold,600,false,Black
Segotep GP700G,,ATX,gold,700,false,Black
Thermaltake Smart,,ATX,bronze,650,false,
Deepcool DA500,,ATX,bronze,500,false,Black / Gold
Thermaltake Litepower,,ATX,,450,false,
NOX Hummer,83.34,ATX,bronze,650,Semi,
SeaSonic G,138.44,ATX,gold,450,Semi,
Corsair CX850M,,ATX,bronze,850,Semi,
PowerSpec PS 550BF,,ATX,bronze,550,false,Black
Cooler Master MWE GOLD 650 V2,,ATX,gold,650,false,Black
Azza PSAZ-650B14,,ATX,,650,false,
SeaSonic PRIME PX,,ATX,platinum,650,Full,Black / Silver
EVGA SuperNOVA 650 P2,,ATX,platinum,650,Full,
KOLINK Core RGB,,ATX,plus,500,false,Black
EVGA SuperNOVA 650 GS,,ATX,gold,650,Full,
Gigabyte GP-G750H,,ATX,gold,750,Semi,Black
SeaSonic VERTEX GX-750,169.99,ATX,gold,750,Full,Black / Silver
Silverstone Essential,95.85,ATX,gold,750,Semi,Black / Blue
Antec NeoECO Gold,152.16,ATX,gold,850,Full,
Cooler Master MWE Bronze V2,,ATX,bronze,500,false,Black
Rosewill HIVE,,ATX,bronze,750,Semi,
Cooler Master V850 Gold V2,209.09,ATX,gold,850,Full,Black
iTek GF750 EVO,,ATX,gold,750,Full,Black / Red
Deepcool DQ-M-V2L,152.88,ATX,gold,850,Full,Black / Green
EVGA SuperNOVA 850 T2,,ATX,titanium,850,Full,
Deepcool PF350 230V,,ATX,plus,350,false,Black
Corsair RM850i,,ATX,gold,850,Full,
Fractal Design Ion Gold,159.29,ATX,gold,650,Full,Black
FSP Group FSP300-60LG,148.02,Mini ITX,bronze,300,false,
SeaSonic FOCUS Gold,139.34,ATX,gold,650,Semi,
NOX Hummer GD,105.7,ATX,gold,750,false,
Thermaltake Toughpower SFX,,SFX,gold,650,Full,Black
Silverstone Strider Platinum,138.65,ATX,platinum,550,Full,
Silverstone Strider,,ATX,plus,500,false,
Silverstone Strider Titanium,336.99,ATX,titanium,1100,Full,Black / Blue
SeaSonic FOCUS,,ATX,gold,750,Semi,Black
Antec NE1300G M ATX3.0,197,ATX,gold,1300,Full,Black
Corsair CX430M,,ATX,bronze,430,Semi,
Thermaltake TR2 S 550W,,ATX,plus,550,false,
FSP Group Hydro G PRO ATX3.0(PCIe5.0),,ATX,gold,1000,Full,Black
be quiet! System Power 9,,ATX,bronze,700,false,Black
Cooler Master V SFX Gold ATX 3.0,,SFX,gold,850,Full,White
Cooler Master MWE Bronze V2,,ATX,bronze,700,false,Black
Chieftec ATMOS,159.59,ATX,gold,750,Full,Black
Corsair CS550M,,ATX,gold,550,Semi,
Enermax Revolution D.F.,,ATX,gold,650,Full,Black
Cougar VTX,,ATX,bronze,500,false,Black
Logisys PS550E12BK,39.99,ATX,,550,false,
FSP Group Hydro PTM PRO,160.62,ATX,platinum,750,Full,Black
Cooler Master XG650 Plus,130.99,ATX,platinum,650,Full,Black
EVGA 600 BA,,ATX,bronze,600,false,Black
SeaSonic PRIME,259.29,ATX,gold,1000,Full,Black
Tacens Radix VII AG,,ATX,silver,600,false,Black
EVGA SuperNOVA NEX750B,,ATX,bronze,750,Semi,
Super Flower Leadex III ARGB,169.99,ATX,gold,850,Full,White
Thermalright TG,,ATX,gold,750,Full,White
Asus ROG-STRIX-850G-GUNDAM-EDITION,,ATX,gold,850,Full,White
Antec VP PLUS,,ATX,plus,700,false,Black
Corsair RM650i,,ATX,gold,650,Full,
EVGA 460 BP,,ATX,bronze,460,false,Black
Antec NeoECO Gold ZEN,,ATX,gold,600,false,Black / Gold
"FSP Group Hydro PTM X PRO,Gen5",259.99,ATX,platinum,1200,Full,Black
Silverstone DA850R-GMA,242.09,ATX,gold,850,Full,Black
Corsair Vengeance 650M,,ATX,bronze,650,Semi,
Corsair RM850,,ATX,gold,850,Full,
SeaSonic PRIME PX,,ATX,platinum,1600,Full,Black / Silver
EVGA 450 B3,,ATX,bronze,450,Full,
Corsair VS450,,ATX,,450,false,
Silverstone Strider Platinum,159.99,ATX,platinum,850,Full,
Thermaltake Toughpower PF3-L,207,ATX,platinum,1050,Full,Black
GAMDIAS KRATOS M1 B,,ATX,bronze,600,false,Black
