name,price,rpm,noise_level,color,size
Asus ROG STRIX LC II 280 ARGB,104.99,"700,2100",35.7,Black,280
NZXT Kraken Z53 RGB,,"500,1500","22,33",White / Black,240
Corsair iCUE H115i RGB Pro XT,239.99,2200,36,Black,280
Thermalright SI-100,26.9,2000,27.7,Blue,
Gelid Solutions Liquid 120,66,"750,1800",29.6,Black,120
Cooler Master A71C,24.99,"650,1800",24.9,Black,
Alphacool Eisbaer Pro Aurora,292.1,,31.5,Black,420
ID-COOLING AURAFLOW X,59.99,"700,1800","18,35.2",Black,240
Cooler Master MasterLiquid 360 Atmos,159.99,"690,2500",27.2,Black,360
Fractal Design Lumen S28 RGB V2,123.98,"500,1700","10,35.5",Black,280
be quiet! Pure Loop 280,104.9,,"22.5,38.1",Black,280
be quiet! Dark Rock TF 2,89.9,1400,,Black,
Deepcool AS500 Plus,63.54,"500,1200",31.5,Black,
NZXT Kraken Z63 RGB,,"500,1500","22,33",Black,280
Phanteks Glacier One 360MPH,199.99,"500,2200","18,34.2",White,360
Enermax ETS-T40F-TB,19.99,"900,1800","11,21",,
Cooler Master MasterLiquid 240 Atmos,139.99,"690,2500",27.2,Black,240
Thermaltake TH120 ARGB Sync,92.75,1500,28.2,Black,120
Noctua NH-D14,,"900,1200","12.6,19.8",,
Deepcool AG620,39.99,"300,1850",29.4,Black / Silver,
Razer Hanbo Chroma,215.99,,,Black,360
Lian Li Galahad II LCD,337.5,"300,2450",30,White,360
EK EK-Nucleus AIO CR240 Lux D-RGB,127.99,"550,2300",36,Black,240
Deepcool AG300,,"500,3050",30.5,Black / Silver,
be quiet! Shadow Rock LP,49.9,1500,"14.8,25.5",,
EK AIO 240 D-RGB,,"450,2600",36.4,Black,240
Thermalright AXP120-X67,32.9,1800,26.1,White,
Noctua NH-U14S TR4-SP3,98.58,"300,1500","19.2,24.6",,
Intel BXTS15A,35.99,"1000,3850",,,
NZXT Kraken X52,,"500,2000","21,36",,240
Thermalright Frost Tower 120,34.9,1850,29.6,,
ARCTIC Freezer i35 RGB,40.15,"200,1700",,Black,
Deepcool GAMMAXX 400 V2,,"500,1650",,Black / Blue,
be quiet! Shadow Rock 3,44.9,,"11.5,24.4",White / Black,
Enermax ETS-N31-02,17.98,"800,2000",24.5,Black / Silver,
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,172.4,"800,1900",32,White / Silver,360
Alpenföhn BLACK RIDGE,109.49,"800,2800","14,37.6",Black,
Lian Li Galahad II LCD,337.5,"300,2450",30,Black,360
Thermaltake TH360 ARGB Sync,142.65,1500,28.2,White,360
Scythe Fuma 2 Rev.B,,"300,1500","2.58,23.8",Black / Silver,
Asus ROG STRIX LC II ARGB,126.59,"800,2500",37.6,White / Black,240
Thermaltake Gravity A2,20.39,"1200,3500",33.5,Silver / Black,
Thermalright Frozen Prism ARGB,59.9,1850,27,White,360
Cooler Master Hyper 212 LED Turbo ARGB,60.13,"650,1800",27,Black,
Jonsbo CR-1400 EVO Color White,24.88,"800,2200","22.3,33.8",White,
Corsair iCUE LINK H115i RGB,219.99,"400,2000",,Black,280
Vetroo V360,99.99,"800,1800",,Black,360
Fractal Design Lumen S24 V2,,"500,2000","10,33.2",Black,240
Cooler Master Hyper H411R,48.78,"600,2000",29.4,Black / Silver,
Alpenföhn Glacier Water 280,,"500,2000",36.4,Black,280
Cooler Master Hyper H410R RGB,42.59,"600,2000","6,29",,
Thermalright Frozen Magic Scenic V2,64.9,2150,28.1,White,360
CRYORIG H7,,"330,1600",25,,
Thermaltake Gravity i2,17.48,1800,21.3,,
Lian Li Galahad II Trinity Performance,,"2300,3000","32.1,39.9",White,360
Asus ROG RYUO III 240 ARGB,150.47,2200,36.45,Black,240
Thermalright AXP90-X47,20.9,2700,22.4,Gray,
Scythe Ninja 5,64.99,"300,800","4,14.5",Black,
Enermax AQUAFUSION ADV 360,79.99,"500,2000","15,32.6",Black,360
Cooler Master MasterLiquid ML240 Illusion,136.83,"650,1800","6,30",White,240
Vetroo V5,,"800,1700",30.8,Pink,
Corsair H100i,,2700,37.68,,240
Cooler Master MasterAir MA612 Stealth ARGB,69.99,"650,1800","8,27",,
Jonsbo CR-1000,,"700,1800","20.55,37.2",Black,
Deepcool LE520,,"500,2250",32.9,White,240
Gelid Solutions Tranquillo Rev. 5,19.98,"900,2000",26.5,Black,
be quiet! Silent Loop 2 240,214.64,2200,"16.8,38.3",Black,240
Thermaltake TOUGHLIQUID Ultra,179.99,"500,2500",28.1,Black,360
Deepcool CASTLE 360EX A-RGB,,"500,1800",30,Black,360
Cooler Master MasterLiquid PL240 FLUX,144.51,,32,Black,240
Jonsbo CR-1400,,"900,2300","20,30.5",Black,
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,,"800,1900",32,Black / Silver,240
Deepcool AG500 WH ARGB,36.98,"300,1850",29.4,White,
Corsair iCUE H100i ELITE LCD,249,"450,2000","10,30.4",Black,240
Thermaltake TH120 V2 ARGB Sync,69.98,"500,2000",25.8,Black,120
be quiet! Pure Loop 2,139.9,,"17.2,36.8",Black,360
Deepcool R-AN600-BKNNMN-G,54.99,"500,1850","20,24.4",Black / Silver,
ID-COOLING SE-914-XT,25.49,"600,2200",,Black / Gray,
MSI MPG CORELIQUID K360,390,,39.9,Black,360
Thermalright Frost Commander 140,41.19,1800,30.2,White,
Corsair H150i PRO,,1600,25,,360
CRYORIG M9i,31.63,"600,2200",26.4,,
Noctua NH-U9DXi4,64.95,"300,1600","13.1,17.6",,
Corsair A500,89.99,2400,36,Black / Silver,
Cooler Master i50,16.98,2000,28,Black / Silver,
Cooler Master MasterLiquid ML360R RGB,,"650,2000","6,34",Black,360
Gelid Solutions BlackFrore,20,"900,2000",20,Black,
ID-COOLING IS-55 ARGB,36.99,"500,2000",31.2,White,
Thermalright Aqua Elite V3,49.9,1500,25.6,White,240
EK EK-Nucleus AIO CR240 Lux D-RGB,123.19,"550,2300",36,White,240
be quiet! Dark Rock Pro TR4,98.5,"1200,1500","12.8,24.3",Black,
ID-COOLING SE-226-XT,42.99,"500,1500","13.8,30.5",Black,
MSI MAG CORELIQUID M360,113.11,"500,2000","14.3,34.3",Black,360
Noctua NH-U12S SE-AM4,74.95,"300,1500","18.6,22.4",,
ID-COOLING SE-226-XT,49.99,"500,1500","13.8,30.5",Black,
ARCTIC Liquid Freezer II 240 RGB,118.99,"200,1800",22.5,Black / Gray,240
Deepcool ASSASSIN III,,"400,1400",34.2,Black / Silver,
ID-COOLING IS-67-XT,39.99,"500,2200",35.2,Black,
be quiet! Pure Loop 2,114.9,,"15.4,34.9",Black,240
Corsair iCUE LINK H100i LCD,289.99,"480,2400",,Black,240
Thermalright Assassin Spirit V2 Plus,,1500,25.6,Gray,
Thermalright Frozen Magic Scenic V2,,2000,31.4,White,280
Thermalright Assassin King 120 MINI V2,21.9,1500,25.6,Black / Silver,
ID-COOLING SE-224-XTS,26.99,"600,1500",28.9,Black / Silver,
Phanteks GLACIER ONE 420D30,189.99,"250,1800",29.5,Black,420
Noctua NH-L9x65 SE-AM4,59.95,"600,2500","14.8,23.6",,
Thermaltake TH360 V2 ARGB Sync,114.99,"500,2000",25.8,Black,360
Lian Li Galahad II LCD,199.99,"300,1550",26.7,Black,280
Corsair H110i,,2100,43,,280
Deepcool AG400 PLUS,,"500,2000",,Black / Silver,
Thermaltake TOUGHAIR 510,56.99,"500,2000",23.6,Black / Gray,
Asus ROG Ryujin III ARGB,229.99,"600,2200",36.45,Black,240
Deepcool CASTLE 240EX A-RGB,,"500,1800",30,Black,240
EVGA ACX mITX,39.86,"800,2800",33.4,,
Thermaltake TH280 V2 ARGB Sync,99.99,"500,1800",34.7,White,280
Thermaltake TH360 V2 ARGB Sync,129.99,"500,2000",25.8,White,360
Thermalright Silver Soul 135,30.9,1850,29.6,Silver,
Deepcool LE500 Marrs,,"500,2250",32.9,Black,240
ID-COOLING ZOOMFLOW 360 XT,99.99,"500,1500","13.8,30.5",Black,360
Noctua NH-U9 TR4-SP3,88.32,"400,2000","16.3,22.8",,
Cooler Master Hyper T20,21.99,2000,30,Black / Silver,
Deepcool AG400 ARGB,,"500,2000",31.6,Black / Silver,
Phanteks GLACIER ONE 420D30,189.99,"250,1800",29.5,White,420
Lian Li Galahad II LCD,199.99,"300,1550",26.7,White,280
Gigabyte AORUS WATERFORCE 240,,"950,2150","16.9,31",Black,240
Enermax AQUAFUSION ADV 240,57.99,"500,2000","15,32.6",Black,240
ENDORFY Navis F360,,"250,1800",,Black,360
Thermaltake TH120 ARGB Sync,79.98,1500,28.2,White,120
RAIJINTEK THEMIS BLACK,18.57,"1000,1500",24.53,Black / Silver,
Enermax ETS-T50 AXE ARGB,27.99,"500,1600","14,24",White,
ID-COOLING SE-207-XT SLIM SNOW,39.99,"700,1800","15.2,35.2",White,
Corsair H115i PRO,300,1200,20.4,,280
Scythe Kotetsu Mark 3,29.99,"300,1500","4,28.6",Black / Silver,
Deepcool LS320,62.99,"500,2250",32.9,Black,120
Thermaltake Contac Silent 12,22.99,"400,1500","22.1,28.8",,
Razer Hanbo Chroma,179.99,,,Black,240
Fractal Design Celsius S36,207.82,"500,2000",32.2,,360
Gigabyte AORUS WATERFORCE X,159.99,2300,"8.06,44.4",Black,280
Cooler Master MASTERLIQUID PL360 FLUX,116.78,,32,White,360
ID-COOLING DK-07i RAINBOW,16.98,"500,1800","14.2,25.6",Black,
Deepcool GAMMAXX L240 V2,,"500,1800",30,Black / White,240
be quiet! Silent Loop 2 280,241.72,1600,"16.5,36.1",Black,280
Noua Jotun,,1800,23,Black / Silver,
Gigabyte AORUS LIQUID COOLER,,2500,"18,39.5",Black,360
Thermalright Assassin King 90,24.9,2500,27.3,Black / Silver,
Lian Li Galahad AIO360 (2022),239,"800,1900",32,Black / Silver,360
ID-COOLING FROSTFLOW X 240 LITE SNOW,,"700,1800","15.2,35.2",White,240
ID-COOLING PINKFLOW 240 Diamond,94.99,"900,2000","16.3,33.5",Pink,240
Asus ROG STRIX LC 360 RGB White Edition,304.99,"800,2500",37.6,White,360
Thermaltake TOUGHAIR 310,33.99,"500,2000",23.6,Black / Gray,
ARCTIC Freezer i35,33.99,"200,1800",,Black / White,
Thermaltake TH420 V2 Ultra ARGB Sync,189.99,"500,2000",34.7,White,420
Corsair H80i v2,,2435,37.7,,120
Thermaltake TH360 V2 Ultra ARGB Sync,154.99,"500,1800",25.8,Black,360
Cooler Master MasterLiquid ML240L RGB,118.99,"650,2000","6,30",,240
Thermalright Frost Commander 140,41.9,1800,30.2,Gray,
Deepcool THETA 20 PWM,,"900,2400","17.8,32.5",Black / Silver,
be quiet! Pure Rock,,1500,"19.1,26.8",,
Deepcool CASTLE 360EX,,"500,1800",32.1,Black,360
MSI MAG CORELIQUID E360 WHITE,,,,White,360
MSI MAG CORELIQUID R,,"500,2000","14.3,34.3",Black,240
Thermalright Aqua Elite V3,42.9,1500,25.6,Black,120
Fractal Design Lumen S36 V2,218.78,"500,2000","10,33.2",Black,360
Cooler Master I70,,1800,28,Black / Silver,
be quiet! Pure Loop 2,124.9,,"15.4,33.8",Black,280
Asus ROG Ryujin III,239.99,"600,2200",36.45,White,240
Phanteks Glacier One 360 T30 Gen2,407,"1200,3000","11.1,39.7",Black / Gray,360
Noctua NH-D15 SE-AM4,107.95,"1200,1500","19.2,24.6",,
ENDORFY Navis F240,121.56,"250,1800",,Black,240
Lian Li Galahad AIO240 (2022),160.68,"800,1900",32,Black / Silver,240
Corsair iCUE H60i RGB PRO XT,,2400,"10,37",Black,120
GAMDIAS BOREAS E1,34.98,"800,2000","10,31",Black / Silver,
Alphacool Eisbaer Aurora 420,205.84,"600,1500",,Black,420
Mars Gaming ML-ONE,,"600,1800","9,26",Black,120
Lian Li Galahad AIO360 (2022),209,"800,1900",32,White / Silver,360
Asus ROG Ryujin III,219.99,"450,2000",29.7,Black,240
EVGA CLCx 360,182.65,,35,Black,360
Antec A40PRO,27.99,"800,2200","16,23",,
Thermaltake TH360 V2 Ultra ARGB Sync,154.99,"500,1800",25.8,White,360
ID-COOLING FROSTFLOW X,,"700,1800","18,35.2",,240
Asus ROG RYUJIN II,230.65,"450,2000",29.7,Black,240
Jonsbo CR-1000 EVO ARGB Black,31.99,"600,1500","22,32",Black,
Gigabyte AORUS ATC800,79.99,"600,2000","18,31",Black,
MSI MEG CORELIQUID S280,287.65,,24.9,Black,280
Antec A30,20.43,1750,20,,
Thermaltake TOUGHLIQUID Ultra,249.99,"500,2000",33.2,Black,420
Thermaltake TH240 V2 ARGB Sync,79.98,"500,2000",25.8,White,240
EK AIO 360 D-RGB,,"450,2600",36.4,Black,360
Noctua NH-U9B SE2,,"1000,1600","7.9,17.6",,
APNX AP1-V,49.9,"600,1800","16.1,32.8",Black,
Zalman CNPS10X Performa,39.99,"700,1500",27,Black,
Deepcool GAMMAXX L240 A-RGB,319.81,"500,1800",30,Black,240
NZXT Kraken X72,,"500,2000","21,36",Black,360
Thermaltake TH280 V2 ARGB Sync,99.99,"500,1800",34.7,Black,280
Asus TUF Gaming LC II ARGB,119.99,"800,2000",29,Black,240
be quiet! Shadow Rock Slim 2,44.9,1400,"11.5,23.7",Black,
MSI MAG CORELIQUID R,99.87,"500,1800","14.8,33.28",Black,280
Gigabyte AORUS WATERFORCE 280,159.99,"950,2150","17.1,36.5",Black,280
Alphacool Eisbaer Aurora 360,,"800,2000",,Black,360
Deepcool AK500 DIGITAL WH,74.98,"500,1850",28,White,
ARCTIC Freezer i13 X,29.99,"300,2000",,Black / White,
Cooler Master i71C RGB,,"650,1800",,Black,
APNX AP1-V,49.9,"600,1800","16.1,32.8",White,
Aerocool Cylon 4,52.52,"800,1800","14,26",Black,
Deepcool GAMMAXX 400 XT,,"500,1500",27,Black,
Fractal Design Celsius+ S36 Prisma PWM ARGB,347.56,"500,2000",32.7,Black,360
Fractal Design Celsius S24,216.44,"500,2000",32.2,,240
Xilence M705D,,"700,1600","18,32.5",Black,
Thermaltake Water 3.0 120 ARGB Sync,130.58,"500,1500",25.8,Black,120
be quiet! Pure Loop 120,89.9,,"18.9,36.1",Black,120
Enermax ETS-F40-FS,34.99,"300,1200","10,23",Black,
Corsair H55,,1500,"18,26.5",Black,120
ID-COOLING DK-03,,1600,26.4,,
Alphacool Core Ocean T38,107,,"0,36",Black,420
Corsair H115i,230,2000,40,,280
Thermalright AXP90-X53,,2700,22.4,Black,
Deepcool CASTLE 240EX A-RGB,,"500,1800",30,White / Black,240
Cooler Master MasterLiquid ML120R RGB,,"650,2000","6,30",,120
Scythe Big Shuriken 3 Rev.B,,"300,1800","2.58,27.8",Black / Silver,
ID-COOLING SL360,189.99,"500,2000",29.9,White,360
Deepcool GAMMAXX 200T,,"900,1600","17.8,26.1",,
Cooler Master Hyper TX3 Evo,,"800,2200",,,
Thermalright Assassin King 120,,1500,25.6,White / Silver,
Cooler Master Wraith Ripper,269,,"0,38",Black,
Zalman CNPS4X,,"800,2000",29,Black,
SilentiumPC Fortis 5,,"300,1400",,Black / Silver,
Thermaltake TH120 V2 ARGB Sync,59.99,"500,2000",25.8,White,120
Thermalright AXP-100 Full Copper,217,"900,2500",,Orange,
Fractal Design Lumen S28 V2,209.58,"500,1700","10,35.5",Black,280
Thermaltake UX 210 ARGB,49.99,"600,2000",34.3,Black / Silver,
ID-COOLING SE-224-XT Basic,,"700,1800","15.2,32.5",Black / Gray,
Deepcool UL551 RGB,,"500,1800",26.8,Black,
ID-COOLING SE-914-XT ARGB,34.99,"600,2200","14,25.8",Black / Gray,
EVGA CLC 240,133.12,"500,2400","16,39.9",,240
Cooler Master MasterLiquid 240,,"650,2000","6,30",,240
NZXT Kraken X62 Rev 2,,"500,1800","21,38",,280
Alpenföhn Panorama 2,111,"500,3000",,Black,
ARCTIC Alpine 12,,"100,2000",,Black / White,
Asus ROG RYUO III 360 ARGB WHITE EDITION,,2200,36.45,White,360
Antec VORTEX 360,,"600,2000",31.24,Black,360
MSI MAG CORELIQUID 360R V2,146.94,"500,2000","14.3,34.3",White,360
ID-COOLING ZOOMFLOW X,,"700,1500","18,26.4",Black,240
CRYORIG H7 Quad Lumi,108.69,"330,1600","10,25",,
ARCTIC Liquid Freezer II 120,,"200,1800",,Black,120
Deepcool LS320 WH,67.99,"500,2250",32.9,White,120
Cooler Master MasterAir MA620M,109.49,"650,2000","8,30",Black,
NZXT Kraken X61,,"800,2000","20,37",,280
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,White,
TEAMGROUP SIREN GD360E,124.99,"600,2200","14.3,35.6",White,360
Thermalright Frost Spirit 140 V3 WHITE,,1500,25.6,White,
Enermax Liqmax III 120 RGB,59.99,"500,2000","14,32",Black,120
Silverstone Hydrogon H90 ARGB,45.65,"500,2600","11.3,34.6",Black / Silver,
Thermaltake TH420 ARGB Sync,132.99,"500,1800",34.7,White,420
Montech METAL DT24 BASE,57,"800,1950",26,Black / Silver,
Asus ROG RYUJIN 360,,"450,2000",29.7,Black,360
ID-COOLING PINKFLOW 240 V2,,"900,2000","16.3,33.5",Pink,240
Enermax AQUAFUSION ADV 120,69.98,"500,2000","15,32.6",Black,120
Cooler Master Hyper 212 LED Turbo White Edition,,"600,1600","9,31",White,
Corsair H105,332.9,"800,2700",37.7,,240
MSI MAG CORELIQUID E240,303.5,,,Black,240
Corsair H100,362.23,"1300,2500","22,39",,240
Thermaltake TOUGHLIQUID Ultra RGB,279.99,"500,2000",30.7,Black,420
Deepcool AG400 LED,,"500,2000",31.6,Black / Silver,
Deepcool Castle 240 RGB V2,,"500,1800",30,Black,240
Vetroo U6 Pro,39.99,"700,1500","18.1,30.5",Black,
Asus ROG STRIX LC 240 RGB White Edition,184.99,"800,2500",37.6,White,240
MSI MAG CORELIQUID C280,162.25,"500,1800","14.8,33.28",Black,280
ID-COOLING SL240,139.99,"500,2000",29.9,White,240
Deepcool LE300 Marrs,126,"500,2250",32.9,Black,120
EK AIO Elite 280 D-RGB,159.99,"550,2200",36.4,Black,280
Deepcool AS500,44.99,"500,1200",29.2,Black / Silver,
Cooler Master Hyper 212 LED,69.98,"600,1600","9,31",,
Cooler Master MasterAir MA410P,53.47,"650,2000","6,30",,
Antec VORTEX 240,,"600,2000",31.24,Black,240
Cooler Master MasterLiquid 120,,"650,2000","6,30",,120
ARCTIC Freezer A13 X,27.99,"300,2000",,Black / White,
Cooler Master MasterAir MA612 Stealth,116.92,"650,1800","8,27",,
ARCTIC Freezer 34 eSports,50.59,"200,2100",,Yellow / Black,
ID-COOLING SE-224-XT,,"700,1800","15.2,32.5",White,
Gelid Solutions Liquid 240,84.98,"750,1800",29.6,Black,240
Cooler Master MasterAir MA624 Stealth,84.99,"650,1400","10,27",Black,
MSI MPG CORELIQUID K240,173.54,,"0,39.9",Black,240
ID-COOLING AURAFLOW X 240 EVO SNOW,,"700,1800","18,35.2",White,240
Enermax ETS-T50 AXE ARGB,39.99,"500,1600","14,24",Black,
ID-COOLING FROSTFLOW X,,"700,1800","18,35.2",,360
Deepcool GAMMAXX 300,,"900,1600","17.8,21",,
Corsair H55,,1700,30.32,,120
Cooler Master Hyper 212X,,"600,2000","9,36",,
Silverstone Hydrogon D120 ARGB V2,79.88,,"0,30.5",Black / Silver,
CRYORIG C7,,"600,2500",30,,
Thermaltake TH420 V2 Ultra ARGB Sync,189.99,"500,2000",34.7,Black,420
Deepcool CASTLE 360EX WHITE,,"500,1800",32.1,White / Black,360
Thermaltake TH280 V2 Ultra ARGB Sync,159.99,"500,2000",34.7,Black,280
Thermaltake TOUGHAIR 110,32.99,"500,2000",23.6,Black / Silver,
Enermax ETS-F40-FS,39.99,"300,1200","10,23",White,
Phanteks Glacier One 240 T30 Gen2,,"1200,3000","11.1,39.7",Black / Gray,240
be quiet! Dark Rock Pro 3,,"1400,1700","13.2,26.1",,
Scythe Big Shuriken 3,,"300,1800","2.7,30.4",Black / Silver,
Thermaltake TH240 V2 Ultra ARGB Sync,148.99,"500,1800",25.8,Black,240
ARCTIC Freezer A35 CO,35.95,"200,1800",,Black / Silver,
Cooler Master i70C,24.99,"650,1800",28,Black / Silver,
ID-COOLING SE-207-XT SLIM,,"700,1800","15.2,35.2",,
Scythe Mugen 5 Rev.C,,"300,1500","4,28.6",Black / Silver,
ID-COOLING PINKFLOW 360,,"900,2000","16.3,33.5",Pink,360
ARCTIC Alpine 12 CO,18.68,"100,2700",,Black / Gray,
Noctua NH-U12DXi4,74.95,"300,1500","18.6,22.4",,
ID-COOLING FROSTFLOW X,,"700,1800","18,35.2",,120
Jonsbo CR-1400 EVO ARGB Black,41.33,"800,2200","22.3,33.8",Black,
Alpenföhn BEN NEVIS,,"400,1600","8,20.2",,
Thermaltake TOUGHLIQUID Ultra,199.99,"500,2500",28.1,Black,240
Fractal Design Celsius+ S28 Prisma PWM ARGB,,"500,1700",34.1,Black,280
Cooler Master MasterAIR G200P,79.98,"800,2000","6,28",Black / Silver,
Gelid Solutions Glacier,32.19,"500,1600",35,Black,
Deepcool AK500S DIGITAL,,"500,1850",28,White,
Alpenföhn Brocken 4,,"400,1600",22.8,Black,
Antec Symphony ARGB,237,"800,1600","20,35",Black,360
ARCTIC Freezer 7 Pro Rev.2,,"900,2500",,,
Cooler Master Hyper 212 LED Turbo (Red),71.9,"300,1600","9,31",,
GAMDIAS BOREAS E1,106,"800,2000","10,31",Black / Silver,
NZXT Kraken X42,,"500,1800","21,38",,140
Deepcool CASTLE 360EX A-RGB,,"500,1800",30,White / Black,360
Thermaltake Water 3.0 240 ARGB Sync,,"500,1500",25.8,Black,240
Thermalright Aqua Elite ARGB,,1550,25.6,White,360
ARCTIC Freezer 34,,"200,1800",,Black / Silver,
Thermaltake TH280 V2 Ultra ARGB Sync,159.99,"500,2000",34.7,White,280
Gelid Solutions Liquid 360,124.99,"750,1800",29.6,Black,360
ARCTIC Freezer i35 CO,38.99,"200,1800",,Black / Silver,
ID-COOLING AURAFLOW X 240 EVO,,"700,1800","18,35.2",Black,240
Alphacool Core Ocean T38,87,,"0,34.3",Black,240
EK AIO 120 D-RGB,,"450,2600",36.4,Black,120
Fractal Design Celsius+ S24 Prisma PWM ARGB,208.93,"500,2000",32.7,Black,240
Asus ROG Ryujin 240 RGB AIO,269.4,"450,2000",29.7,Black,240
Alpenföhn Brocken 4 Max,,"400,1800","22.8,24.7",Black,
Corsair H60,,,30.2,,120
Deepcool GAMMAXX GT,,"500,1500","17.8,29.5",,
Intel BXXTS100H,,"800,1800","20,35",,
Cooler Master MasterLiquid ML360 Mirror,249,"650,1800","8,27",Black,360
EVGA CLCx 240,159.99,,35,Black,240
Thermalright Phantom Spirit EVO,,2150,27,Black,
be quiet! Dark Rock 3,,"400,1400","8.4,21.1",,
Phanteks Glacier One 240MPH,,"500,2200","18,34.2",White / Black,240
Silverstone VIDA 240 SLIM,126.99,"300,1800","15.9,33.9",Black,240
Montech AIR COOLER 210,88.06,"600,1500",27,Black,
Phanteks Glacier One 240MP,,"500,2200","18,34.2",Black / White,240
Deepcool Ice Edge Mini FS V2.0,,2200,24.7,,
upHere C92,,"800,1800","15.1,31.6",Black / Red,
Iceberg Thermal IceSLEET G6 Stealth,64.99,"600,1400",26,Black / Blue,
Thermaltake TH420 V2 ARGB Sync,131.99,"500,1800",34.7,Black,420
Thermaltake TOUGHLIQUID ARGB,132.99,"500,2000",22.3,Black,360
ID-COOLING DK,,"500,1800","14.2,25.6",Black / Silver,
Alphacool Core Ocean T38,,,"0,34.3",Black,360
Iceberg Thermal IceSLEET X5,44.99,"500,1850","0,36",Teal / Silver,
Deepcool GAMMAXX L360 A-RGB,190.64,"500,1800",30,Black,360
Phanteks Glacier One 280MP,206.6,"500,2000","18,39.1",Black / White,280
Asus ROG RYUJIN II 360 ARGB EVA Edition,,,,Silver / Black,360
MSI MPG CORELIQUID K360 V2,,,39.9,Black,360
SilentiumPC Fortis 5 Dual Fan,,"300,1400",,Black / Silver,
Alpenföhn Dolomit,,"500,2200",23.8,Black,
Jonsbo HP400S,29.99,"900,2800","20.2,34",Blue / Silver,
ARCTIC Freezer 34 eSports,,"200,2100",,White / Black,
be quiet! Pure Loop 2,99.9,,"13,32.1",Black,120
ID-COOLING SL240,139.99,"500,2000",29.9,Black,240
be quiet! Silent Loop 2 120,137.69,2200,"16.6,36.4",Black,120
Cooler Master MasterLiquid PL360 FLUX 30TH Anniversary Edition,199.99,,30,Black,360
ID-COOLING IS-40X,26.99,"600,2500","14,33",Black / White,
Thermaltake TH240 V2 Ultra ARGB Sync,148.99,"500,1800",25.8,White,240
Asus ROG RYUJIN II ARGB,226.6,,,Black,240
Thermaltake Floe Riing RGB 360 TT Premium Edition,182.99,"500,1400","19.8,24.7",,360
Azza Blizzard SP 240,,"700,2200",36,Black,240
ARCTIC Freezer A35 RGB,39.97,"200,1700",,Black,
Deepcool LE300,,"500,2250",,Black,120
ARCTIC Liquid Freezer II 360 RGB,,"200,1800",22.5,Black / Gray,360
Thermalright Frost Spirit 140,,1500,25.6,Gray,
Phanteks GLACIER ONE 240D30,247,"250,2000",30.2,Black,240
Thermaltake UX200 ARGB,36.99,"300,1500",26.33,Black,
Cooler Master Hyper T2,,2800,"17,35",,
Noctua NH-L12,,"1200,1600","13.1,22.4",,
TEAMGROUP SIREN GD240E,105.99,"600,2200","14.3,35.6",White,240
Thermaltake CLP0556,18.5,"1900,2300",22,,
Cooler Master MasterAir MA610P ARGB,92.68,"650,1800","8,27",,
Silverstone Krypton KR02,36.82,"800,2800","13.6,34.8",Black / Silver,
Cooler Master i70,19.98,1800,28,Black / Silver,
Corsair H50,159,1700,30.32,,120
ID-COOLING IS-50X V2,,"500,2000","13.8,31.2",Black / Gray,
ARCTIC Freezer 33 eSports ONE (Black/Red),,"200,1800",24.4,Black / Red,
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,Black,
Thermalright Assassin King 120,,1500,25.6,Black / Silver,
Antec Symphony ARGB,206,"800,1600","20,35",Black,240
Deepcool AG500 ARGB,51,"300,1850",29.4,Black / Silver,
RAIJINTEK JUNO-X,34.85,"1200,2500",26,Black,
Deepcool GAMMAXX 400 XT,,"500,1500",27,White,
Alpenföhn Glacier Water High Speed 360,279.19,"500,2200",36.8,White,360
EVGA CLC 360,,"500,2400","16,39.9",Black,360
GameMax Iceberg 240,,"600,1800","25,32",Black,240
Deepcool GAMMAXX 400 EX,,"500,1500",27.6,Black,
Silverstone Krypton KR01,32.99,"800,3000",33,Black / Silver,
Fractal Design Celsius S36 Blackout,,"500,2000",32.2,Black,360
Thermaltake Water 3.0 Ultimate,,"1000,2000",20,,360
EVGA CLCx 280,182.69,,35,Black,280
Corsair H80i,,2700,37.68,,120
Corsair H100i GTX,,2435,37.7,,240
Mars Gaming ML-ONE,,"600,1800","9,26",White,120
Phanteks GLACIER ONE 240D30,239,"250,2000",30.2,White,240
SilentiumPC Spartan 3 LT HE1012,,"800,2000",,Black / Silver,
Asus ROG STRIX LC 120 RGB,213.05,"800,2500",37.6,Black,120
Thermalright Silver Soul 135,,1850,29.6,White,
Thermaltake TH420 V2 ARGB Sync,131.99,"500,1800",34.7,White,420
MSI MPG CORELIQUID K240 V2,183.6,,39.9,Black,240
Cooler Master Hyper 212 LED White Edition,72,"600,1600","9,31",,
Deepcool Gammaxx L360 V2,,"500,1800",30,Black / White,360
ID-COOLING SE-224-XT ARGB V3,,"500,1500","13.8,30.5",,
ID-COOLING ZOOMFLOW 360 XT SNOW,,"500,1500","13.8,30.5",White,360
MSI MAG CORELIQUID E240 WHITE,,,,White,240
Cooler Master MasterAir MA410M,96.34,"650,1800","6,31",Black,
Cougar Forza 50,32.9,"600,2000",34.5,Black,
Scythe Shuriken 2,,"300,2500","1.8,23.2",Black / Silver,
