name,price,rpm,noise_level,color,size
Thermalright Peerless Assassin,34.9,1550,25.6,Gray,
ID-COOLING SE-214-XT,,"500,1500","13.8,30.5",White,
be quiet! Pure Rock 2 FX,44.9,,"7.9,24.4",Black,
NZXT T120 RGB,54.98,"500,1800","17.2,27.5",Black,
Cooler Master Hyper 212 EVO,64.16,"600,2000","9,36",,
NZXT Kraken 120,82.99,"500,2000","21,36",Black,120
Noctua NH-U9S chromax.black,69.95,"400,2000","16.3,22.8",Black,
ARCTIC Freezer 34 eSports DUO,42.95,"200,2100",24.4,White / Black,
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,"600,2500","14.8,23.6",Black,
Cooler Master MasterLiquid ML240L ARGB V2,81.99,"650,1800","8,27",Black,240
Deepcool AK400 DIGITAL,49.99,"500,1850",28,Black,
Deepcool LS520 SE WH,72.98,"500,2250","28.2,32.9",White,240
Cooler Master Hyper 212 Spectrum V3,26.98,"650,1750",27.2,Black / Silver,
EK Nucleus AIO CR240 Dark,119.99,"550,2300",36,Black,240
Thermalright Peerless Assassin 120 Black,41.9,1550,25.6,Black,
Corsair iCUE LINK H150i RGB,239.99,"480,2400",,Black,360
Deepcool ASSASSIN IV,99.99,"500,1700","22.6,29.3",Black,
Cooler Master Hyper 212 Black Edition,43.99,"650,2000","6.5,26",Black,
Corsair iCUE H150i ELITE CAPELLIX,364.4,2400,"10,37",Black,360
be quiet! Dark Rock Pro 5,99.9,"1300,2000","8.9,23.3",Black,
Noctua NH-U12A,119.95,"450,2000","18.8,22.6",Brown,
Cooler Master MasterLiquid 240L Core,99.99,"350,1750",27.2,Black,240
Corsair iCUE H170i ELITE LCD XT,299.99,"500,1700","5,33.8",Black,420
NZXT Kraken Elite 240 RGB,231.99,"500,1800","17.9,30.6",White,240
Thermalright Frozen Notte ARGB,80.9,2000,27.7,White,360
NZXT Kraken Z63,244.69,"500,1800","21,38",Black,280
Cooler Master Hyper H412R,22.99,"600,2000",29.4,Black,
Lian Li Galahad II Trinity,124,2450,35.4,White,360
EK Nucleus AIO CR360 Dark,135.99,"550,2300",36,Black,360
Noctua NH-U12S redux,54.95,"450,1700",25.1,Gray / Silver,
Thermalright Peerless Assassin 120 White,,1550,25.6,White,
Thermalright Assassin X 120 PLUS V2,22.29,1500,25.6,Black / Silver,
ARCTIC Liquid Freezer II 240 A-RGB,111.99,"200,1800",22.5,Black / Gray,240
Thermalright Frozen Prism ARGB,46.9,1850,27,Black,240
Asus ROG STRIX LC II ARGB,139.99,"800,2500",37.6,Black,360
Cooler Master MasterLiquid ML360L ARGB V2,100.08,"650,1800","8,27",Black,360
Thermalright Frozen Notte ARGB,51.9,2000,27.7,White,240
Noctua NH-L9i,44.95,"600,2500","14.8,23.6",Brown,
NZXT Kraken X63,229.99,"500,2000","21,38",Black,280
Deepcool LT520 WH,87.99,"500,2250",32.9,White,240
Noctua NH-D12L,89.95,"450,2000","18.8,22.6",Beige / Brown,
Lian Li Galahad II LCD SL-INF,408.72,,29,Black,360
Corsair iCUE H170i ELITE LCD,459,"400,1600","10,31.8",Black,420
ARCTIC Alpine 23,9.16,"100,2000",,White / Black,
Deepcool AK400 ZERO DARK PLUS,42.98,"500,1650",28,Black,
Noctua NH-L9i-17xx,44.95,"600,2500","14.8,23.6",Brown / Beige,
be quiet! Pure Rock 2,34.9,1500,"19.1,26.8",Silver / Black,
Noctua NH-U9S,59.95,"400,2000","16.3,22.8",,
NZXT Kraken Z73 RGB,,"500,1500","22,33",White / Black,360
ID-COOLING IS-55 Black,39.99,"500,2000",31.2,Black,
Deepcool AG400,29.99,"500,2000",31.6,White,
Corsair iCUE H100i ELITE LCD XT,209.99,"550,2100","5,34.1",Black,240
MSI MAG CORELIQUID P240,77.33,"500,2000","14.3,34.3",Black,240
ARCTIC Freezer 7 X,22.98,"300,2000",22.5,Black / White,
Cooler Master Hyper 212 Halo,44.6,"650,2050",27,White,
NZXT Kraken Elite 280 RGB,219.99,"500,1500",34.48,White,280
Corsair iCUE H60x RGB ELITE,,1500,"7,28",Black,120
Cooler Master MasterLiquid ML240L ARGB V2,99.99,"650,1800","8,27",White,240
Noctua NH-L9A-AM5,44.95,"600,2500","14.8,23.6",Brown / Silver,
Thermalright Assassin X 90 SE,16.89,2400,27.3,Black / Silver,
ARCTIC Liquid Freezer II 420 A-RGB,152.88,"200,1900",22.5,Black,420
Thermalright Frozen Notte ARGB,71.9,2000,27.7,Black,360
Noctua NH-L9x65 chromax.black,69.9,"600,2500","14.8,23.6",Black,
Vetroo V5,29.99,"800,1700",30.8,White,
Noctua NH-U12S,74.95,"300,1500","18.6,22.4",,
ARCTIC Liquid Freezer II 280 A-RGB,112.49,"200,1900",22.5,Black,280
NZXT Kraken X53,,"500,2000","21,36",Black,240
ID-COOLING FROSTFLOW X,59.99,"800,1600","16.8,32.6",Black / Silver,280
Thermalright AXP90-X47,22.9,2700,22.4,Black,
EK AIO 280 D-RGB,82.99,"500,2000",36.4,Black / Translucent White,280
Deepcool LS720 WH,101.98,"500,2250",32.9,White,360
be quiet! Pure Loop 2 FX,129.9,,"8,34",Black,360
EK EK-Nucleus AIO CR360 Lux D-RGB,163.99,"550,2300",36,Black,360
Corsair iCUE H115i ELITE CAPELLIX XT,159.99,"500,1700","5,33.8",Black,280
NZXT Kraken Z73,,"500,1800","21,36",Black,360
Cooler Master MasterLiquid 360L Core,116.85,"350,1750",27.2,White,360
Lian Li Galahad II Trinity,97.99,2450,35.4,White,240
Lian Li Galahad II Trinity,149.99,2450,35.4,Black,360
Corsair iCUE LINK H150i LCD,319.99,"480,2400",,Black,360
Lian Li Galahad II LCD SL-INF,359.7,,29,White,360
NZXT Kraken Elite 240,224.19,"500,1800","17.9,30.6",Black,240
Thermalright Assassin X Refined SE ARGB,19.69,1550,25.6,White / Silver,
Corsair iCUE H100i RGB ELITE,129.99,"400,1850","5,28.9",White,240
be quiet! Pure Loop 360,99.9,,"19.8,40.5",Black,360
Corsair iCUE H150i ELITE LCD,436.98,"450,2000","10,30.4",Black,360
Corsair iCUE LINK H150i LCD,329.99,"480,2400",,White,360
Thermalright Frozen Prism,46.9,1850,27,Black,240
Asus ROG RYUJIN III 360 ARGB EVA-02 EDITION,398.99,"600,2200",36.45,Red / Black,360
Noctua NH-L9x65,59.95,"600,2500","14.8,23.6",,
Thermalright Frozen Prism ARGB,52.99,1850,27,Black,360
Lian Li GALAHAD AIO 360 RGB,209.99,"800,1900",,White / Silver,360
Noctua NH-D15S,99.95,"300,1500","19.2,24.6",,
Cooler Master Hyper 212 RGB Black Edition,85.8,"650,2000","8,30",Black,
Corsair H100i v2,348.57,2435,37.7,,240
Thermalright AXP90-X36,22.9,2700,22.4,Gray,
NZXT Kraken Elite 240 RGB,232.82,"500,1800","17.9,30.6",Black,240
Corsair iCUE H100i ELITE CAPELLIX,238,2400,"10,37",Black,240
Lian Li Galahad II Trinity,97.99,2450,35.4,Black,240
NZXT Kraken Elite 280,199.99,"500,1500","19.4,32.1",Black,280
Thermalright Frozen Prism ARGB,46.9,1850,27,White,240
Thermalright Assassin X Refined SE PLUS,19.5,1550,25.6,Black / Silver,
NZXT Kraken 280 RGB,179.99,"500,1500",34.48,White,280
Thermaltake UX200 SE ARGB,33.98,"800,1800",25,Black,
NZXT Kraken X53 RGB,203.28,"500,1500","22,33",Black,240
Cooler Master Hyper 212 EVO V2,39.5,"650,1800","8,27",,
Gigabyte AORUS WATERFORCE X,199.99,"800,2500","7.9,37.6",Black,360
Thermalright Assassin X Refined SE,19.89,1550,25.6,White / Silver,
