name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core i7-14700F,369.99,20,2.1,5.4,65,,true
Intel Core i9-10900K,443.08,10,3.7,5.3,125,Intel UHD Graphics 630,true
Intel Core i5-8400,152,6,2.8,4,65,Intel UHD Graphics 630,false
Intel Core i7-13700,339.99,16,2.1,5.2,65,Intel UHD Graphics 770,true
Intel Core i5-6500,79,4,3.2,3.6,65,Intel HD Graphics 530,false
AMD Ryzen 9 3950X,,16,3.5,4.7,105,,true
AMD Ryzen 5 3400G,139.99,4,3.7,4.2,65,Radeon Vega 11,true
Intel Core i7-8700,240,6,3.2,4.6,65,Intel UHD Graphics 630,true
Intel Core i7-11700F,220.79,8,2.5,4.9,65,,true
Intel Core i7-4790K,,4,4,4.4,88,Intel HD Graphics 4600,true
Intel Core i9-11900KF,250,8,3.5,5.3,125,,true
Intel Core i9-10850K,286,10,3.6,5.2,125,Intel UHD Graphics 630,true
Intel Core i7-7700,175,4,3.6,4.2,65,Intel HD Graphics 630,true
Intel Core i7-10700F,229.99,8,2.9,4.8,65,,true
Intel Core i5-6600K,130,4,3.5,3.9,91,Intel HD Graphics 530,false
Intel Core i7-6700,165,4,3.4,4,65,Intel HD Graphics 530,true
AMD Ryzen 5 1600 (14nm),256.07,6,3.2,3.6,65,,true
Intel Core i3-14100,139.99,4,3.5,4.7,60,Intel UHD Graphics 730,true
AMD Ryzen 3 3100,,4,3.6,3.9,65,,true
Intel Core i7-14700,399.99,20,2.1,5.4,65,Intel UHD Graphics 770,true
AMD Ryzen 7 2700,185,8,3.2,4.1,65,,true
Intel Core i5-4690K,53.5,4,3.5,3.9,88,Intel HD Graphics 4600,false
AMD Threadripper 3960X,1300,24,3.8,4.5,280,,true
Intel Core i7-12700,304,12,2.1,4.9,65,Intel UHD Graphics 770,true
Intel Core i3-10105F,78.09,4,3.7,4.4,65,,true
Intel Core i7-4770,,4,3.4,3.9,84,Intel HD Graphics 4600,true
Intel Core i7-11700,222.99,8,2.5,4.9,65,Intel UHD Graphics 750,true
Intel Core i5-11400,150.97,6,2.6,4.4,65,Intel UHD Graphics 730,true
Intel Core i3-13100,147.99,4,3.4,4.5,60,Intel UHD Graphics 730,true
AMD Ryzen 5 1600 (12nm),120,6,3.2,3.6,65,,true
AMD Ryzen 5 5600X3D,,6,3.3,4.4,105,,true
Intel Core i7-3770,95,4,3.4,,77,Intel HD Graphics 4000,true
AMD Athlon 3000G (14nm),,2,3.5,,35,Radeon Vega 3,true
Intel Core i9-12900KS,339.98,16,3.4,5.5,150,Intel UHD Graphics 770,true
Intel Core i5-11600K,226.29,6,3.9,4.9,125,Intel UHD Graphics 750,true
Intel Core i7-10700,227.95,8,2.9,4.8,65,Intel UHD Graphics 630,true
Intel Core i5-7500,89,4,3.4,3.8,65,Intel HD Graphics 630,false
Intel Core i7-10700KF,240,8,3.8,5.1,125,,true
AMD Ryzen 5 3600,,6,3.6,4.2,65,,true
Intel Core i5-8600K,250,6,3.6,4.3,95,Intel UHD Graphics 630,false
Intel Core i9-9900KF,312.74,8,3.6,5,95,,true
Intel Core i5-10600KF,139,6,4.1,4.8,125,,true
AMD Ryzen 3 2200G,150,4,3.5,3.7,65,Radeon Vega 8,false
AMD Ryzen 9 3950X,2147.03,16,3.5,4.7,105,,true
AMD Ryzen 5 3600,165.92,6,3.6,4.2,65,,true
Intel Core i7-6950X,525,10,3,3.5,140,,true
Intel Core i7-9700,270.26,8,3,4.7,65,Intel HD Graphics 630,false
Intel Core i3-10100,100,4,3.6,4.3,65,Intel UHD Graphics 630,true
Intel Core i7-4790,129.94,4,3.6,4,84,Intel HD Graphics 4600,true
Intel Core i9-14900,579.99,24,2,5.8,65,Intel UHD Graphics 770,true
AMD Ryzen 7 1700,195.2,8,3,3.7,65,,true
Intel Core i5-7400,110,4,3,3.5,65,Intel HD Graphics 630,false
AMD Ryzen 5 3500X,,6,3.6,4.1,65,,false
AMD Ryzen 5 5600GT,140,6,3.6,4.6,65,Radeon Vega 7,true
Intel Core i7-4770K,150,4,3.5,3.9,84,Intel HD Graphics 4600,true
AMD Ryzen 5 5500GT,125,6,3.6,4.4,65,Radeon Vega 7,true
Intel Core i5-14400,229.99,10,2.5,4.7,65,Intel UHD Graphics 730,true
Intel Core i9-9900KS,1989,8,4,5,127,Intel UHD Graphics 630,true
Intel Core i3-9100F,115,4,3.6,4.2,65,,false
Intel Xeon E5-2660,15.44,8,2.2,3,95,,true
Intel Core i9-10900KF,310,10,3.7,5.3,125,,true
Intel Core i3-8100,110,4,3.6,,65,Intel UHD Graphics 630,false
Intel Core i5-3470,,4,3.2,,77,Intel HD Graphics 2500,false
Intel Celeron G6900,86.11,2,3.4,,46,Intel UHD Graphics 710,false
Intel Celeron G5900,47.83,2,3.4,,58,Intel UHD Graphics 610,false
AMD Ryzen 5 1600X,140,6,3.6,4,95,,true
Intel Xeon E5-2699 V4,343,22,2.2,3.6,145,,true
Intel Core i7-9700F,299,8,3,4.7,65,,false
Intel Core i9-13900F,459.99,24,2,5.6,65,,true
Intel Core i7-11700KF,263.98,8,3.6,5,125,,true
AMD FX-8350,218.36,8,4,,125,,false
Intel Core i7-3770K,175,4,3.5,,77,Intel HD Graphics 4000,true
AMD Threadripper 1900X,99.99,8,3.8,4,180,,true
AMD Ryzen 9 3900XT,450,12,3.8,4.7,105,,true
Intel Core i5-7600K,221.13,4,3.8,4.2,91,Intel HD Graphics 630,false
Intel Core i9-13900,541.99,24,2,5.6,65,Intel UHD Graphics 770,true
Intel Core i5-8500,175,6,3,4.1,65,Intel UHD Graphics 630,false
Intel Core i5-4590,,4,3.3,3.7,84,Intel HD Graphics 4600,false
Intel Core i3-4130,43,2,3.4,,54,Intel HD Graphics 4400,true
AMD Threadripper 2990WX,2500,32,3,4.2,250,,true
Intel Core i5-11600KF,161.93,6,3.9,4.9,125,,true
AMD Ryzen 7 1700X,251,8,3.4,3.8,95,,true
AMD Ryzen 7 3700X,,8,3.6,4.4,65,,true
Intel Core i5-4460,82.46,4,3.2,3.4,84,Intel HD Graphics 4600,false
AMD Ryzen 5 2400G,135,4,3.6,3.9,65,Radeon Vega 11,true
Intel Core i9-14900F,559.99,24,2,5.8,65,,true
Intel Core i5-12500,240.99,6,3,4.6,65,Intel UHD Graphics 770,true
AMD Ryzen 7 3800XT,407.95,8,3.9,4.7,105,,true
Intel Core i9-10980XE,1200,18,3,4.8,165,,true
AMD FX-6300,,6,3.5,,95,,false
Intel Core i5-9400,179.91,6,2.9,4.1,65,Intel UHD Graphics 630,false
Intel Xeon E5-1650 V4,30.99,6,3.6,4,140,,true
Intel Core i5-4570,104.54,4,3.2,,84,Intel HD Graphics 4600,false
AMD Ryzen 3 3300X,225,4,3.8,4.3,65,,true
AMD Ryzen 5 1400,110,4,3.2,3.4,65,,true
AMD Ryzen 5 3600XT,,6,3.8,4.5,95,,true
Intel Xeon E5-2620,36.75,6,2,,95,,true
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,false
AMD Ryzen 3 1200 (14nm),105,4,3.1,3.4,65,,false
Intel Core i7-2600,,4,3.4,,95,Intel HD Graphics 2000,true
Intel Xeon E5-2660 V4,74.98,14,2,3.2,105,,true
Intel Core i7-6800K,108,6,3.4,3.6,140,,true
AMD Ryzen 7 5700,,8,3.7,4.6,65,,true
Intel Pentium E5400,,2,2.7,,65,,false
Intel Core i5-4690,52,4,3.5,3.9,84,Intel HD Graphics 4600,false
Intel Core i5-3570K,122.1,4,3.4,,77,Intel HD Graphics 4000,false
Intel Core i5-9600KF,200.12,6,3.7,4.6,95,,false
Intel Core i5-12600,239.99,6,3.3,4.8,65,Intel UHD Graphics 770,true
Intel Core i7-9700KF,300,8,3.6,4.9,95,,false
Intel Xeon E5-2680 V4,1975,14,2.4,3.3,120,,true
AMD Ryzen 5 3500,,6,3.6,4.1,65,,false
Intel Core i3-6100,100,2,3.7,,51,Intel HD Graphics 530,true
AMD Ryzen 5 1500X,225,4,3.5,3.7,65,,true
Intel Core i5-4670K,63.5,4,3.4,,84,Intel HD Graphics 4600,false
Intel Core i5-10500,174.25,6,3.1,4.5,65,Intel UHD Graphics 630,true
Intel Core i5-2400,,4,3.1,,95,Intel HD Graphics 2000,false
Intel Core i3-7350K,72.8,2,4.2,,60,Intel HD Graphics 630,true
Intel Core i3-4150,48,2,3.5,,54,Intel HD Graphics 4400,true
AMD Ryzen 7 1800X,295,8,3.6,4,95,,true
Intel Core i7-2600K,85,4,3.4,,95,Intel HD Graphics 3000,true
AMD Athlon II X2 240,29.48,2,2.8,,65,,false
Intel Core i9-10900F,270,10,2.8,5.2,65,,true
Intel Celeron G4900,48.59,2,3.1,,65,Intel UHD Graphics 610,false
Intel Core i3-10305,84.99,4,3.8,4.5,65,Intel UHD Graphics 630,true
Intel Core i7-4790K,195,4,4,4.4,88,Intel HD Graphics 4600,true
Intel 300,96.99,2,3.9,,46,Intel UHD Graphics 710,true
AMD Ryzen 9 PRO 7945,,12,3.7,5.4,65,Radeon,true
Intel Core 2 Duo E8400,27.55,2,3,,65,,false
Intel Core i7-5820K,,6,3.3,3.6,140,,true
AMD Threadripper 1920X,270,12,3.5,4,180,,true
Intel Core i7-8700K,254.5,6,3.7,4.7,95,Intel UHD Graphics 630,true
AMD Athlon X4 845,50,4,3.5,3.8,65,,false
Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,false
Intel Xeon E5-2683 V4,1998.95,16,2.1,3,120,,true
Intel Core i3-10105,96,4,3.7,4.4,65,Intel UHD Graphics 630,true
Intel Core i9-9900,330,8,3.1,5,65,Intel UHD Graphics 630,true
Intel Core i9-10900X,625,10,3.7,4.7,165,,true
Intel Core i5-7600,89,4,3.5,4.1,65,Intel HD Graphics 630,false
Intel Core i3-7100,82.8,2,3.9,,51,Intel HD Graphics 630,true
Intel Core i5-9400F,,6,2.9,4.1,65,,false
Intel Core i5-3570,,4,3.4,,77,Intel HD Graphics 2500,false
Intel Core i7-4790,,4,3.6,4,84,Intel HD Graphics 4600,true
Intel Core i5-2500K,232.84,4,3.3,,95,Intel HD Graphics 3000,false
Intel Core i9-9900K,954.81,8,3.6,5,95,Intel UHD Graphics 630,true
AMD Threadripper 1950X,848.88,16,3.4,4,180,,true
Intel Pentium Gold G6400,59.75,2,4,,58,Intel UHD Graphics 610,true
Intel Xeon E5-2650 V4,79,12,2.2,2.9,105,,true
Intel Core i5-6500,,4,3.2,3.6,65,Intel HD Graphics 530,false
Intel Core i7-6900K,150,8,3.2,3.7,140,,true
Intel Core i5-11500,177.47,6,2.7,4.6,65,Intel UHD Graphics 750,true
Intel Core i9-12900F,432.99,16,2.4,5.1,65,,true
Intel Core i5-9500,169,6,3,4.4,65,Intel UHD Graphics 630,false
Intel Core i9-10900,303.98,10,2.8,5.2,65,Intel UHD Graphics 630,true
AMD Ryzen 9 3900X,,12,3.8,4.6,105,,true
Intel Xeon E5-2640 V3,35.97,8,2.6,3.4,90,,true
Intel Core i9-11900,284.94,8,2.5,5.2,65,Intel UHD Graphics 750,true
Intel Celeron 420,39.95,1,1.6,,35,,false
Intel Core i5-8400,249.95,6,2.8,4,65,Intel UHD Graphics 630,false
AMD Threadripper 2950X,1075,16,3.5,4.4,180,,true
Intel Core i7-8700,611.05,6,3.2,4.6,65,Intel UHD Graphics 630,true
Intel Core i9-7900X,414.17,10,3.3,4.5,140,,true
Intel Celeron G5925,29.9,2,3.6,,58,Intel UHD Graphics 610,false
Intel Pentium Gold G7400,108.99,2,3.7,,46,Intel UHD Graphics 710,true
Intel Core i7-8086K,456,6,4,5,95,Intel UHD Graphics 630,true
Intel Core i7-7700,173.43,4,3.6,4.2,65,Intel HD Graphics 630,true
Intel Core i7-6850K,130,6,3.6,3.8,140,,true
AMD FX-8320,175,8,3.5,,125,,false
Intel Core i3-9100,145,4,3.6,4.2,65,Intel UHD Graphics 630,false
AMD Athlon X2 340,120,2,3.2,,65,,false
Intel Core i9-7960X,357.22,16,2.8,4.4,165,,true
Intel Core i7-2700K,89,4,3.5,,95,Intel HD Graphics 3000,true
Intel Core i9-12900,459,16,2.4,5.1,65,Intel UHD Graphics 770,true
Intel Core i9-13900T,,24,1.1,5.3,35,Intel UHD Graphics 770,true
Intel Core i5-4440,100,4,3.1,3.3,84,Intel HD Graphics 4600,false
Intel Celeron E3500,14.99,2,2.7,,65,,false
AMD FX-9590,302.58,8,4.7,5,220,,false
Intel Core i3-2100,49,2,3.1,,65,Intel HD Graphics 2000,true
Intel Xeon E5-2667 V3,1038.27,8,3.2,3.6,135,,true
Intel Pentium E5700,19.98,2,3,,65,,false
Intel Core i7-4930K,105,6,3.4,3.9,130,,true
AMD Ryzen 3 3200G,,4,3.6,4,65,Radeon Vega 8,false
AMD Ryzen 3 1300X,,4,3.5,3.7,65,,false
AMD Athlon 200GE,99.99,2,3.2,,35,Radeon Vega 3,true
AMD Ryzen 5 3600X,,6,3.8,4.4,95,,true
Intel Xeon E5-2698 V3,,16,2.3,3.6,135,,true
AMD Threadripper 2920X,530,12,3.5,4.3,180,,true
AMD Ryzen 5 3600,279.99,6,3.6,4.2,65,,true
Intel Core i7-7700K,,4,4.2,4.5,91,Intel HD Graphics 630,true
Intel Core i9-9900K (Standard Folding Box),480,8,3.6,5,95,Intel UHD Graphics 630,true
Intel Celeron G5905,48.47,2,3.5,,58,Intel UHD Graphics 610,false
Intel Core i7-7800X,499.99,6,3.5,4,140,,true
Intel Core i5-2500,,4,3.3,,95,Intel HD Graphics 2000,false
Intel Xeon E5-2670 V3,,12,2.3,3.1,120,,true
Intel Core i7-7820X,375,8,3.6,4.5,140,,true
Intel Core i9-11900F,249.75,8,2.5,5.2,65,,true
AMD A4-6300,46.79,2,3.7,3.9,65,Radeon HD 8370D,false
Intel Pentium G640,30,2,2.8,,65,Intel HD Graphics,false
Intel Core i5-8600,289,6,3.1,4.3,65,Intel UHD Graphics 630,false
Intel Core i5-8500T,,6,2.1,3.5,35,Intel UHD Graphics 630,false
AMD Ryzen 5 2600,,6,3.4,3.9,65,,true
Intel Core i3-12100T,182.84,4,2.2,4.1,35,Intel UHD Graphics 730,true
Intel Celeron G5920,38.95,2,3.5,,58,Intel UHD Graphics 610,false
Intel Core i7-6900K,295.06,8,3.2,3.7,140,,true
Intel Core i5-9600,150,6,3.1,4.6,65,Intel UHD Graphics 630,false
Intel Core i7-5930K,,6,3.5,3.7,140,,true
Intel Celeron G440,,1,1.6,,35,Intel HD Graphics,false
Intel Core i5-13600,,14,2.7,5,65,Intel UHD Graphics 770,true
AMD Ryzen 3 1200 (12nm),105,4,3.1,3.4,65,,false
AMD FX-6350,100,6,3.9,,125,,false
AMD Ryzen 7 3800X,,8,3.9,4.5,105,,true
Intel Core i5-4670,63.5,4,3.4,,84,Intel HD Graphics 4600,false
Intel Core i3-3220,,2,3.3,,55,Intel HD Graphics 2500,true
Intel Core i5-10600,299.95,6,3.3,4.8,65,Intel UHD Graphics 630,true
